序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,688235,百济神州,1.58,10.0,2389.0,2025年1季度股票投资明细
2,002773,康弘药业,1.37,83.0,2070.85,2025年1季度股票投资明细
3,688266,泽璟制药,1.35,20.51,2045.47,2025年1季度股票投资明细
4,688114,华大智造,1.29,25.0,1956.21,2025年1季度股票投资明细
5,688578,艾力斯,1.28,22.8,1945.24,2025年1季度股票投资明细
6,603259,药明康德,1.26,28.31,1906.1,2025年1季度股票投资明细
7,688278,特宝生物,1.18,23.0,1793.96,2025年1季度股票投资明细
8,688050,爱博医疗,1.11,17.23,1687.73,2025年1季度股票投资明细
9,000963,华东医药,1.11,45.8,1680.86,2025年1季度股票投资明细
10,002001,新和成,1.11,75.01,1678.69,2025年1季度股票投资明细
11,301626,苏州天脉,0.01,0.1,8.03,2025年1季度股票投资明细
12,688449,联芸科技,0.0,0.14,6.22,2025年1季度股票投资明细
13,688605,先锋精科,0.0,0.07,5.38,2025年1季度股票投资明细
14,301658,首航新能,0.0,0.44,5.16,2025年1季度股票投资明细
15,688708,佳驰科技,0.0,0.08,4.27,2025年1季度股票投资明细
16,688617,惠泰医疗,1.18,5.88,1745.44,2025年2季度股票投资明细
17,603259,药明康德,1.18,24.92,1733.46,2025年2季度股票投资明细
18,688520,神州细胞,1.14,27.98,1674.32,2025年2季度股票投资明细
19,600276,恒瑞医药,1.13,32.01,1661.29,2025年2季度股票投资明细
20,301015,百洋医药,1.1,81.08,1626.46,2025年2季度股票投资明细
21,688278,特宝生物,1.1,22.55,1626.36,2025年2季度股票投资明细
22,000403,派林生物,1.1,89.63,1624.99,2025年2季度股票投资明细
23,300759,康龙化成,1.1,66.0,1619.67,2025年2季度股票投资明细
24,688301,奕瑞科技,1.09,18.3,1602.85,2025年2季度股票投资明细
25,300347,泰格医药,1.08,30.0,1599.34,2025年2季度股票投资明细
26,300003,乐普医疗,1.08,116.01,1598.58,2025年2季度股票投资明细
27,000513,丽珠集团,1.08,44.15,1591.27,2025年2季度股票投资明细
28,002252,上海莱士,1.07,229.99,1580.06,2025年2季度股票投资明细
29,300760,迈瑞医疗,1.07,7.0,1573.65,2025年2季度股票投资明细
30,600521,华海药业,1.06,84.28,1570.11,2025年2季度股票投资明细
31,002007,华兰生物,1.06,100.09,1568.47,2025年2季度股票投资明细
