序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600276,恒瑞医药,6.06,29.47,1449.92,2025年1季度股票投资明细
2,01801,信达生物,5.84,32.5,1397.63,2025年1季度股票投资明细
3,688506,百利天恒,5.76,5.93,1376.74,2025年1季度股票投资明细
4,09926,康方生物,5.62,19.1,1343.11,2025年1季度股票投资明细
5,688266,泽璟制药,5.6,13.43,1339.28,2025年1季度股票投资明细
6,002755,奥赛康,5.27,69.64,1259.09,2025年1季度股票投资明细
7,688050,爱博医疗,4.83,11.8,1155.87,2025年1季度股票投资明细
8,09688,再鼎医药,4.41,40.13,1055.45,2025年1季度股票投资明细
9,688192,迪哲医药,3.97,19.35,948.38,2025年1季度股票投资明细
10,688235,百济神州,2.73,2.74,653.49,2025年1季度股票投资明细
11,06160,百济神州,2.37,3.69,565.95,2025年1季度股票投资明细
12,01801,信达生物,8.83,19.65,1404.91,2025年2季度股票投资明细
13,06990,科伦博泰生物-B,7.0,3.73,1112.99,2025年2季度股票投资明细
14,688266,泽璟制药,6.72,9.94,1069.12,2025年2季度股票投资明细
15,600276,恒瑞医药,5.34,16.37,849.6,2025年2季度股票投资明细
16,09926,康方生物,5.32,10.1,846.92,2025年2季度股票投资明细
17,688506,百利天恒,4.92,2.64,782.11,2025年2季度股票投资明细
18,09969,诺诚健华,4.79,63.8,762.19,2025年2季度股票投资明细
19,01530,三生制药,4.57,33.7,726.83,2025年2季度股票投资明细
20,002755,奥赛康,4.2,41.77,667.48,2025年2季度股票投资明细
21,09688,再鼎医药,4.13,26.24,656.87,2025年2季度股票投资明细
22,300204,舒泰神,3.8,16.21,604.31,2025年2季度股票投资明细
23,688351,微电生理,3.08,24.89,490.25,2025年2季度股票投资明细
24,06160,百济神州,2.71,3.2,431.32,2025年2季度股票投资明细
25,688192,迪哲医药,2.55,6.79,405.74,2025年2季度股票投资明细
26,688235,百济神州,2.47,1.68,393.03,2025年2季度股票投资明细
27,01093,石药集团,2.27,51.4,360.93,2025年2季度股票投资明细
28,300723,一品红,2.17,6.9,345.83,2025年2季度股票投资明细
29,002821,凯莱英,2.01,3.63,320.35,2025年2季度股票投资明细
30,002294,信立泰,1.98,6.67,315.69,2025年2季度股票投资明细
31,688382,益方生物,1.49,7.24,237.74,2025年2季度股票投资明细
32,688050,爱博医疗,1.45,3.36,231.14,2025年2季度股票投资明细
33,000963,华东医药,1.16,4.56,184.04,2025年2季度股票投资明细
34,00512,远大医药,0.98,19.7,156.66,2025年2季度股票投资明细
35,02157,乐普生物-B,0.95,30.8,151.68,2025年2季度股票投资明细
36,688114,华大智造,0.6,1.46,94.78,2025年2季度股票投资明细
37,002044,美年健康,0.56,17.4,89.44,2025年2季度股票投资明细
38,688068,热景生物,0.53,0.6,84.64,2025年2季度股票投资明细
39,300558,贝达药业,0.5,1.38,79.97,2025年2季度股票投资明细
40,301363,美好医疗,0.46,4.15,73.28,2025年2季度股票投资明细
41,688180,君实生物,0.46,2.14,72.59,2025年2季度股票投资明细
42,688621,阳光诺和,0.36,1.13,56.61,2025年2季度股票投资明细
43,603108,润达医疗,0.29,2.59,45.74,2025年2季度股票投资明细
44,300676,华大基因,0.26,0.84,41.81,2025年2季度股票投资明细
45,688073,毕得医药,0.25,0.69,40.01,2025年2季度股票投资明细
46,06990,科伦博泰生物-B,8.71,3.12,1464.13,2025年3季度股票投资明细
47,01801,信达生物,8.38,16.0,1408.18,2025年3季度股票投资明细
48,01530,三生制药,7.76,47.6,1303.74,2025年3季度股票投资明细
49,688506,百利天恒,7.73,3.46,1299.25,2025年3季度股票投资明细
50,09926,康方生物,7.13,9.3,1198.89,2025年3季度股票投资明细
51,002294,信立泰,6.24,17.39,1049.49,2025年3季度股票投资明细
52,688382,益方生物,5.89,31.81,989.53,2025年3季度股票投资明细
53,09969,诺诚健华,4.91,48.3,825.49,2025年3季度股票投资明细
54,688266,泽璟制药,4.02,5.98,676.18,2025年3季度股票投资明细
55,688068,热景生物,3.74,3.7,628.28,2025年3季度股票投资明细
