序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,600276,恒瑞医药,7.1,25.0,1230.0,2025年1季度股票投资明细
2,688235,百济神州,5.53,4.01,958.39,2025年1季度股票投资明细
3,603259,药明康德,5.21,13.42,903.43,2025年1季度股票投资明细
4,688192,迪哲医药,4.94,17.48,856.66,2025年1季度股票投资明细
5,688578,艾力斯,4.68,9.5,810.16,2025年1季度股票投资明细
6,000963,华东医药,4.66,22.0,807.4,2025年1季度股票投资明细
7,002294,信立泰,4.55,24.0,787.92,2025年1季度股票投资明细
8,002422,科伦药业,4.32,23.22,748.38,2025年1季度股票投资明细
9,603939,益丰药房,4.31,30.0,747.3,2025年1季度股票投资明细
10,600535,天士力,4.19,47.99,725.16,2025年1季度股票投资明细
11,600276,恒瑞医药,7.58,22.0,1141.8,2025年2季度股票投资明细
12,01801,信达生物,6.17,13.0,929.46,2025年2季度股票投资明细
13,03692,翰森制药,5.76,32.0,868.18,2025年2季度股票投资明细
14,688578,艾力斯,5.53,8.95,832.88,2025年2季度股票投资明细
15,01530,三生制药,5.44,38.0,819.57,2025年2季度股票投资明细
16,688235,百济神州,5.35,3.45,806.69,2025年2季度股票投资明细
17,000963,华东医药,5.22,19.5,787.02,2025年2季度股票投资明细
18,688192,迪哲医药,5.07,12.78,764.42,2025年2季度股票投资明细
19,002422,科伦药业,5.06,21.22,762.22,2025年2季度股票投资明细
20,01093,石药集团,4.66,100.0,702.2,2025年2季度股票投资明细
21,09926,康方生物,4.45,8.0,670.83,2025年2季度股票投资明细
22,600196,复星医药,4.41,26.49,664.65,2025年2季度股票投资明细
23,300558,贝达药业,3.84,9.99,578.92,2025年2季度股票投资明细
24,600535,天士力,2.59,24.99,391.13,2025年2季度股票投资明细
25,688506,百利天恒,2.55,1.3,384.96,2025年2季度股票投资明细
26,688266,泽璟制药,2.5,3.5,376.29,2025年2季度股票投资明细
27,01952,云顶新耀,2.26,6.0,340.34,2025年2季度股票投资明细
28,603259,药明康德,1.85,4.0,278.2,2025年2季度股票投资明细
29,688331,荣昌生物,0.8,2.0,121.0,2025年2季度股票投资明细
30,002294,信立泰,0.63,2.0,94.66,2025年2季度股票投资明细
31,600276,恒瑞医药,9.2,19.0,1359.45,2025年3季度股票投资明细
32,688235,百济神州,6.55,3.15,967.56,2025年3季度股票投资明细
33,002020,京新药业,5.47,39.0,808.08,2025年3季度股票投资明细
34,603259,药明康德,5.31,7.0,784.21,2025年3季度股票投资明细
35,01801,信达生物,5.06,8.5,748.1,2025年3季度股票投资明细
36,688336,三生国健,5.04,13.1,744.34,2025年3季度股票投资明细
37,03692,翰森制药,4.9,22.0,724.29,2025年3季度股票投资明细
38,000963,华东医药,4.87,17.3,718.82,2025年3季度股票投资明细
39,01530,三生制药,4.82,26.0,712.12,2025年3季度股票投资明细
40,688192,迪哲医药,4.8,9.78,708.58,2025年3季度股票投资明细
